Titel,Gruppe[Nr],Gruppe[Titel],Gruppe[Oprettet],Gruppe[Rettet],Gruppe[Emner],Gruppe[Filtre],Fritekst
Gruppe_05.03,05.03,"Broer og tunneler mv.",1988-01-01,,"Emne_05.03.00,Emne_05.03.05,Emne_05.03.06","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_05.04,05.04,"Stier",1988-01-01,,"Emne_05.04.00,Emne_05.04.04,Emne_05.04.05,Emne_05.04.06,Emne_05.04.08,Emne_05.04.09,Emne_05.04.11,Emne_05.04.12,Emne_05.04.16,Emne_05.04.20,Emne_05.04.21,Emne_05.04.22,Emne_05.04.23","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_05.05,05.05,"Pladser, torve, holdepladser mv.",1988-01-01,2003-08-01,"Emne_05.05.00,Emne_05.05.01,Emne_05.05.02,Emne_05.05.04,Emne_05.05.05,Emne_05.05.06,Emne_05.05.12,Emne_05.05.15","FolkeskolenDelplan,DagtilbudDelplan",[[Category:NaN_KLE_Data]]
Gruppe_05.06,05.06,"Pladser og anlæg [udgået]",1988-01-01,,"Emne_05.06.00,Emne_05.06.01,Emne_05.06.02","",[[Category:NaN_KLE_Data]]
Gruppe_05.07,05.07,"Renholdelse og vintertjeneste",1988-01-01,2015-05-01,"Emne_05.07.00,Emne_05.07.01,Emne_05.07.02,Emne_05.07.04,Emne_05.07.10","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_05.08,05.08,"Oplagspladser m.v. [udgået]",1988-01-01,,"Emne_05.08.00,Emne_05.08.01,Emne_05.08.02,Emne_05.08.03,Emne_05.08.04,Emne_05.08.05","",[[Category:NaN_KLE_Data]]
Gruppe_05.09,05.09,"Parkering",2003-02-01,,"Emne_05.09.00,Emne_05.09.02,Emne_05.09.04,Emne_05.09.06,Emne_05.09.08,Emne_05.09.10,Emne_05.09.12","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_05.10,05.10,"Trafikforhold [udgået]",1987-01-01,,"Emne_05.10.00,Emne_05.10.01,Emne_05.10.02,Emne_05.10.03,Emne_05.10.04,Emne_05.10.07","",[[Category:NaN_KLE_Data]]
Gruppe_05.11,05.11,"Trafikrestriktioner [udgået]",1988-01-01,,"Emne_05.11.00,Emne_05.11.01,Emne_05.11.02,Emne_05.11.03","",[[Category:NaN_KLE_Data]]
Gruppe_05.12,05.12,"Opgravning, ledningsarbejder mv.",1988-01-01,1991-01-01,"Emne_05.12.00,Emne_05.12.10","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_05.13,05.13,"Færdselsregulering/trafiksikkerhed",1988-01-01,,"Emne_05.13.00,Emne_05.13.01,Emne_05.13.02,Emne_05.13.03,Emne_05.13.04,Emne_05.13.05,Emne_05.13.06,Emne_05.13.09,Emne_05.13.10,Emne_05.13.11,Emne_05.13.12,Emne_05.13.13,Emne_05.13.14,Emne_05.13.15,Emne_05.13.16,Emne_05.13.17,Emne_05.13.18,Emne_05.13.20","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_05.14,05.14,"Genstande mv. på vejarealet",1988-01-01,2015-05-01,"Emne_05.14.00,Emne_05.14.01,Emne_05.14.02,Emne_05.14.03,Emne_05.14.04,Emne_05.14.05,Emne_05.14.06,Emne_05.14.07,Emne_05.14.08,Emne_05.14.09,Emne_05.14.10,Emne_05.14.11,Emne_05.14.12,Emne_05.14.13,Emne_05.14.14,Emne_05.14.15,Emne_05.14.17,Emne_05.14.20,Emne_05.14.21,Emne_05.14.22","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_05.18,05.18,"Vejbidrag",2008-05-01,2015-05-01,"Emne_05.18.00","",[[Category:NaN_KLE_Data]]
Gruppe_05.23,05.23,"Tryghedsfremmende foranstaltninger",2011-08-01,,"Emne_05.23.00,Emne_05.23.04","",[[Category:NaN_KLE_Data]]
Gruppe_05.26,05.26,"Ekspropriation til offentlige vej- og stianlæg",2012-08-01,2014-02-01,"Emne_05.26.00,Emne_05.26.05,Emne_05.26.10,Emne_05.26.15","",[[Category:NaN_KLE_Data]]
Gruppe_06.00,06.00,"Spildevand og vandløb",1988-01-01,2011-05-01,"Emne_06.00.00,Emne_06.00.05,Emne_06.00.10","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_06.01,06.01,"Kloakker og ledningsnet samt private spildevandsanlæg",1988-01-01,2005-02-01,"Emne_06.01.00,Emne_06.01.01,Emne_06.01.03,Emne_06.01.04,Emne_06.01.05,Emne_06.01.06,Emne_06.01.07,Emne_06.01.08,Emne_06.01.09,Emne_06.01.12,Emne_06.01.15,Emne_06.01.17,Emne_06.01.20,Emne_06.01.25","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_06.02,06.02,"Vandløb og søer",1988-01-01,2011-05-01,"Emne_06.02.00,Emne_06.02.02,Emne_06.02.03,Emne_06.02.04,Emne_06.02.05,Emne_06.02.10,Emne_06.02.11,Emne_06.02.15,Emne_06.02.16,Emne_06.02.20,Emne_06.02.25,Emne_06.02.26,Emne_06.02.30,Emne_06.02.35,Emne_06.02.40","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_06.03,06.03,"Rensningsanlæg, pumpestationer mv.",1988-01-01,,"Emne_06.03.00,Emne_06.03.01,Emne_06.03.02,Emne_06.03.03,Emne_06.03.04,Emne_06.03.10,Emne_06.03.11,Emne_06.03.12,Emne_06.03.20","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_06.04,06.04,"Søer - Sejlads på søer, regulering af søer o. lign. [udgået]",1988-01-01,,"Emne_06.04.00","",[[Category:NaN_KLE_Data]]
Gruppe_06.05,06.05,"Fjorde [udgået]",1988-01-01,,"Emne_06.05.00","",[[Category:NaN_KLE_Data]]
Gruppe_06.06,06.06,"Have [udgået]",1988-01-01,,"Emne_06.06.00","",[[Category:NaN_KLE_Data]]
Gruppe_06.07,06.07,"Dræning og jordforbedring [udgået]",1988-01-01,,"Emne_06.07.00","",[[Category:NaN_KLE_Data]]
Gruppe_06.08,06.08,"Diger og kystbeskyttelse [udgået]",1988-01-01,,"Emne_06.08.00,Emne_06.08.08,Emne_06.08.09,Emne_06.08.10,Emne_06.08.11","",[[Category:NaN_KLE_Data]]
Gruppe_06.09,06.09,"Sluser m.v. [udgået]",1988-01-01,,"Emne_06.09.00,Emne_06.09.01,Emne_06.09.02,Emne_06.09.03,Emne_06.09.04","",[[Category:NaN_KLE_Data]]
Gruppe_06.10,06.10,"Vandingsanlæg m.v. [udgået]",1988-01-01,,"Emne_06.10.00,Emne_06.10.01,Emne_06.10.02,Emne_06.10.03","",[[Category:NaN_KLE_Data]]
Gruppe_06.11,06.11,"Beskyttelse af overfladevand",1992-01-01,,"Emne_06.11.00,Emne_06.11.01,Emne_06.11.05","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_06.15,06.15,"Slam [udgået]",1992-01-01,,"Emne_06.15.00,Emne_06.15.01,Emne_06.15.02","",[[Category:NaN_KLE_Data]]
Gruppe_06.20,06.20,"Offentlige toiletter",1994-01-01,,"Emne_06.20.00","",[[Category:NaN_KLE_Data]]
Gruppe_07.00,07.00,"Affald og genanvendelse",1988-01-01,,"Emne_07.00.00,Emne_07.00.01,Emne_07.00.03,Emne_07.00.05,Emne_07.00.08,Emne_07.00.10,Emne_07.00.12","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_07.01,07.01,"Affalds- og genanvendelsesordninger",1988-01-01,,"Emne_07.01.00,Emne_07.01.05,Emne_07.01.06,Emne_07.01.07,Emne_07.01.08,Emne_07.01.09,Emne_07.01.12,Emne_07.01.14,Emne_07.01.16,Emne_07.01.18,Emne_07.01.20,Emne_07.01.22,Emne_07.01.24,Emne_07.01.26,Emne_07.01.28,Emne_07.01.36","FolkeskolenDelplan,DagtilbudDelplan",[[Category:NaN_KLE_Data]]
Gruppe_07.02,07.02,"Industri- og erhvervsaffald m.v. [udgået]",1988-01-01,,"Emne_07.02.00,Emne_07.02.01,Emne_07.02.02","",[[Category:NaN_KLE_Data]]
Gruppe_07.03,07.03,"Lossepladser mv.",1988-01-01,,"Emne_07.03.00,Emne_07.03.03,Emne_07.03.10,Emne_07.03.11,Emne_07.03.15","KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_07.04,07.04,"Modtage- og affaldsbehandlingsanlæg mv.",1988-01-01,2013-05-01,"Emne_07.04.00,Emne_07.04.01,Emne_07.04.02,Emne_07.04.03,Emne_07.04.04,Emne_07.04.10,Emne_07.04.11,Emne_07.04.15,Emne_07.04.20","KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_07.05,07.05,"Offentlige toiletter [udgået]",1988-01-01,,"Emne_07.05.00","",[[Category:NaN_KLE_Data]]
Gruppe_07.06,07.06,"Genbrugsstationer [udgået]",1990-01-01,,"Emne_07.06.00","",[[Category:NaN_KLE_Data]]
Gruppe_07.08,07.08,"Genanvendelse og renere teknologi",1998-01-01,,"Emne_07.08.00","KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_07.10,07.10,"Indsamling af genanvendeligt materiale [udgået]",1988-01-01,,"Emne_07.10.00,Emne_07.10.01,Emne_07.10.05,Emne_07.10.10","",[[Category:NaN_KLE_Data]]
Gruppe_07.11,07.11,"Genanvendelse [udgået]",1988-01-01,,"Emne_07.11.00","",[[Category:NaN_KLE_Data]]
Gruppe_07.13,07.13,"Farligt affald",2003-08-01,,"Emne_07.13.00,Emne_07.13.02,Emne_07.13.04,Emne_07.13.06,Emne_07.13.08","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_07.14,07.14,"Registrering af transportører [udgået]",2008-02-01,,"Emne_07.14.00","",[[Category:NaN_KLE_Data]]
Gruppe_07.15,07.15,"Affald af elektriske og elektroniske produkter",2000-01-01,,"Emne_07.15.00,Emne_07.15.01,Emne_07.15.02,Emne_07.15.03,Emne_07.15.04,Emne_07.15.05","FolkeskolenDelplan,DagtilbudDelplan",[[Category:NaN_KLE_Data]]
Gruppe_07.16,07.16,"Affaldsklassificering",2010-02-01,2013-05-01,"Emne_07.16.00,Emne_07.16.03,Emne_07.16.06","",[[Category:NaN_KLE_Data]]
Gruppe_07.17,07.17,"Affald fra virksomheder, offentlige og private institutioner",2010-02-01,,"Emne_07.17.00,Emne_07.17.02,Emne_07.17.04,Emne_07.17.06,Emne_07.17.08,Emne_07.17.10,Emne_07.17.12,Emne_07.17.14,Emne_07.17.18","",[[Category:NaN_KLE_Data]]
Gruppe_07.18,07.18,"Affald fra husholdninger, indsamlingsordninger",2010-02-01,,"Emne_07.18.00,Emne_07.18.06,Emne_07.18.08,Emne_07.18.10,Emne_07.18.12,Emne_07.18.14,Emne_07.18.16,Emne_07.18.18,Emne_07.18.20,Emne_07.18.22","",[[Category:NaN_KLE_Data]]
Gruppe_07.20,07.20,"Anvendelse af affaldsprodukter til jordbrugsformål",2003-08-01,,"Emne_07.20.00,Emne_07.20.02,Emne_07.20.04,Emne_07.20.06,Emne_07.20.08,Emne_07.20.10,Emne_07.20.12,Emne_07.20.14","KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_07.22,07.22,"Anvendelse af bioaske til jordbrugsformål",2003-08-01,,"Emne_07.22.00,Emne_07.22.02,Emne_07.22.04,Emne_07.22.06,Emne_07.22.08","",[[Category:NaN_KLE_Data]]
Gruppe_07.26,07.26,"Håndtering af vaskevand m.v. [udgået]",2010-02-01,,"Emne_07.26.00,Emne_07.26.04,Emne_07.26.08","",[[Category:NaN_KLE_Data]]
Gruppe_08.00,08.00,"Havne og lufthavne",1988-01-01,2005-02-01,"Emne_08.00.00,Emne_08.00.05","KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_08.01,08.01,"Skibs- og vareafgift",1988-01-01,,"Emne_08.01.00","KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_08.02,08.02,"Havnebassiner, sejlløb mv.",1988-01-01,2012-11-01,"Emne_08.02.00,Emne_08.02.05,Emne_08.02.06,Emne_08.02.10","",[[Category:NaN_KLE_Data]]
Gruppe_08.03,08.03,"Havnearealer og -anlæg",1988-01-01,2012-11-01,"Emne_08.03.00,Emne_08.03.01,Emne_08.03.04,Emne_08.03.05,Emne_08.03.06,Emne_08.03.07,Emne_08.03.08,Emne_08.03.09,Emne_08.03.10,Emne_08.03.12,Emne_08.03.13,Emne_08.03.14,Emne_08.03.20,Emne_08.03.21,Emne_08.03.22,Emne_08.03.25,Emne_08.03.26,Emne_08.03.30,Emne_08.03.35,Emne_08.03.40,Emne_08.03.42","KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_08.04,08.04,"Havnemateriel [udgået]",1988-01-01,,"Emne_08.04.00,Emne_08.04.01,Emne_08.04.02,Emne_08.04.10","",[[Category:NaN_KLE_Data]]
Gruppe_08.05,08.05,"Farvandsafmærkninger",1988-01-01,,"Emne_08.05.00","",[[Category:NaN_KLE_Data]]
Gruppe_08.06,08.06,"Isbrydning og istjeneste",1988-01-01,,"Emne_08.06.00","",[[Category:NaN_KLE_Data]]
Gruppe_08.07,08.07,"Rutebåde [udgået]",1988-01-01,,"Emne_08.07.00","",[[Category:NaN_KLE_Data]]
Gruppe_08.08,08.08,"Færgelejer",1991-01-01,,"Emne_08.08.00,Emne_08.08.01,Emne_08.08.05,Emne_08.08.06,Emne_08.08.10,Emne_08.08.15","KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_08.10,08.10,"Sikring af havnefaciliteter",2006-08-01,2005-02-01,"Emne_08.10.00","",[[Category:NaN_KLE_Data]]
Gruppe_08.13,08.13,"Havneydelser",1988-01-01,2005-02-01,"Emne_08.13.00,Emne_08.13.01,Emne_08.13.02,Emne_08.13.05","",[[Category:NaN_KLE_Data]]
Gruppe_08.14,08.14,"Trafikhavn-økonomi [udgået]",1988-01-01,,"Emne_08.14.00","",[[Category:NaN_KLE_Data]]
Gruppe_08.20,08.20,"Lufthavne og flyvepladser",1988-01-01,,"Emne_08.20.00,Emne_08.20.05,Emne_08.20.10,Emne_08.20.15,Emne_08.20.20,Emne_08.20.25","",[[Category:NaN_KLE_Data]]
Gruppe_08.25,08.25,"Lufthavnsarealer og lufthavnsanlæg",2013-05-01,,"Emne_08.25.00,Emne_08.25.05,Emne_08.25.10,Emne_08.25.15,Emne_08.25.20,Emne_08.25.25,Emne_08.25.30,Emne_08.25.35","",[[Category:NaN_KLE_Data]]
Gruppe_09.00,09.00,"Miljøbeskyttelse",1988-01-01,,"Emne_09.00.00,Emne_09.00.02,Emne_09.00.04,Emne_09.00.06,Emne_09.00.07,Emne_09.00.08,Emne_09.00.12","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_09.01,09.01,"Miljøreglementet",1988-01-01,,"Emne_09.01.00,Emne_09.01.01,Emne_09.01.02,Emne_09.01.03,Emne_09.01.04,Emne_09.01.05,Emne_09.01.06,Emne_09.01.07,Emne_09.01.08,Emne_09.01.10,Emne_09.01.11,Emne_09.01.12,Emne_09.01.13","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_09.02,09.02,"Godkendelsespligtige listevirksomheder",1988-01-01,2005-02-01,"Emne_09.02.00,Emne_09.02.01,Emne_09.02.02,Emne_09.02.03,Emne_09.02.04,Emne_09.02.05,Emne_09.02.06,Emne_09.02.07,Emne_09.02.08,Emne_09.02.09,Emne_09.02.10,Emne_09.02.11,Emne_09.02.15,Emne_09.02.16,Emne_09.02.25","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_09.03,09.03,"Depoter/giftgrunde [udgået]",1988-01-01,1992-01-01,"Emne_09.03.00,Emne_09.03.01,Emne_09.03.05,Emne_09.03.06,Emne_09.03.10,Emne_09.03.11","",[[Category:NaN_KLE_Data]]
Gruppe_09.04,09.04,"Miljøinvesteringer",1988-01-01,2015-02-01,"Emne_09.04.00,Emne_09.04.01,Emne_09.04.05","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_09.05,09.05,"Beskyttelse af havmiljøet",1988-01-01,,"Emne_09.05.00,Emne_09.05.01,Emne_09.05.02,Emne_09.05.05,Emne_09.05.10,Emne_09.05.15","",[[Category:NaN_KLE_Data]]
Gruppe_09.06,09.06,"Genanvendelse [udgået]",1988-01-01,,"Emne_09.06.00","",[[Category:NaN_KLE_Data]]
Gruppe_09.07,09.07,"Beskyttelse af overfladevand [udgået]",1988-01-01,,"Emne_09.07.00,Emne_09.07.01,Emne_09.07.02,Emne_09.07.03,Emne_09.07.04","",[[Category:NaN_KLE_Data]]
Gruppe_09.08,09.08,"Beskyttelse af jord og grundvand",1988-01-01,,"Emne_09.08.00,Emne_09.08.03,Emne_09.08.05,Emne_09.08.06,Emne_09.08.07,Emne_09.08.08,Emne_09.08.09,Emne_09.08.10,Emne_09.08.11,Emne_09.08.13,Emne_09.08.15,Emne_09.08.20,Emne_09.08.22,Emne_09.08.24,Emne_09.08.26,Emne_09.08.30,Emne_09.08.35","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_09.09,09.09,"Jordforurening [udgået]",1988-01-01,,"Emne_09.09.00","",[[Category:NaN_KLE_Data]]
Gruppe_09.10,09.10,"Luftforurening",1988-01-01,,"Emne_09.10.00,Emne_09.10.04,Emne_09.10.08,Emne_09.10.12","FolkeskolenDelplan,DagtilbudDelplan",[[Category:NaN_KLE_Data]]
Gruppe_09.11,09.11,"Ekstern støj",1988-01-01,2011-05-01,"Emne_09.11.00","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_09.12,09.12,"Levnedsmiddelkontrol [udgået]",1988-01-01,,"Emne_09.12.00,Emne_09.12.02,Emne_09.12.03,Emne_09.12.04","",[[Category:NaN_KLE_Data]]
Gruppe_09.13,09.13,"Skadedyrsbekæmpelse",1988-01-01,2005-02-01,"Emne_09.13.00,Emne_09.13.01,Emne_09.13.02,Emne_09.13.03,Emne_09.13.04,Emne_09.13.05,Emne_09.13.06","FolkeskolenDelplan,DagtilbudDelplan",[[Category:NaN_KLE_Data]]
Gruppe_09.14,09.14,"Dyresygdomme [udgået]",1988-01-01,,"Emne_09.14.00","",[[Category:NaN_KLE_Data]]
Gruppe_09.15,09.15,"Karantænestation [udgået]",1988-01-01,,"Emne_09.15.00","",[[Category:NaN_KLE_Data]]
Gruppe_09.16,09.16,"Kemiske stoffer, produkter og bekæmpelsesmidler",1988-01-01,,"Emne_09.16.00","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_09.17,09.17,"Husdyrbrug",1988-01-01,2012-02-01,"Emne_09.17.00,Emne_09.17.01,Emne_09.17.02,Emne_09.17.03,Emne_09.17.04,Emne_09.17.05,Emne_09.17.06,Emne_09.17.07,Emne_09.17.08,Emne_09.17.09,Emne_09.17.15,Emne_09.17.16,Emne_09.17.17,Emne_09.17.18,Emne_09.17.20,Emne_09.17.22,Emne_09.17.24,Emne_09.17.25,Emne_09.17.38,Emne_09.17.40,Emne_09.17.42,Emne_09.17.44,Emne_09.17.46,Emne_09.17.48,Emne_09.17.50,Emne_09.17.52,Emne_09.17.54,Emne_09.17.56,Emne_09.17.60","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_09.18,09.18,"Miljøregulering af visse aktiviteter",1993-01-01,2011-05-01,"Emne_09.18.00,Emne_09.18.01,Emne_09.18.02,Emne_09.18.05,Emne_09.18.08,Emne_09.18.10,Emne_09.18.12,Emne_09.18.14,Emne_09.18.17","",[[Category:NaN_KLE_Data]]
Gruppe_09.19,09.19,"Badevand og badeområder",1989-01-01,2008-05-01,"Emne_09.19.00,Emne_09.19.01,Emne_09.19.02,Emne_09.19.03,Emne_09.19.04","",[[Category:NaN_KLE_Data]]
Gruppe_09.20,09.20,"Særlige brancher og brancheaftaler",1988-01-01,,"Emne_09.20.00,Emne_09.20.01,Emne_09.20.02,Emne_09.20.03,Emne_09.20.04,Emne_09.20.05,Emne_09.20.08,Emne_09.20.10","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_09.23,09.23,"Markafbrændinger",1990-01-01,,"Emne_09.23.00","",[[Category:NaN_KLE_Data]]
Gruppe_09.25,09.25,"Genteknologi",1989-01-01,,"Emne_09.25.00","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_09.27,09.27,"Bioaske [udgået]",1991-01-01,,"Emne_09.27.00","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_09.30,09.30,"Mindre forurenende virksomheder",1993-01-01,2011-05-01,"Emne_09.30.00,Emne_09.30.01,Emne_09.30.02,Emne_09.30.03,Emne_09.30.04,Emne_09.30.05,Emne_09.30.06,Emne_09.30.08,Emne_09.30.09,Emne_09.30.11,Emne_09.30.15,Emne_09.30.16,Emne_09.30.19,Emne_09.30.20,Emne_09.30.21,Emne_09.30.22","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_09.35,09.35,"Paragraf 42-virksomheder",2001-08-01,,"Emne_09.35.00","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_11.00,11.00,"Øforhold [udgået]",1988-01-01,,"Emne_11.00.00","",[[Category:NaN_KLE_Data]]
Gruppe_11.01,11.01,"Trafikforhold [udgået]",1988-01-01,,"Emne_11.01.00","",[[Category:NaN_KLE_Data]]
Gruppe_11.02,11.02,"Sundhedsmæssig service [udgået]",1988-01-01,,"Emne_11.02.00","",[[Category:NaN_KLE_Data]]
Gruppe_11.03,11.03,"Erhvervsforhold [udgået]",1988-01-01,,"Emne_11.03.00","",[[Category:NaN_KLE_Data]]
Gruppe_11.04,11.04,"Skoleforhold [udgået]",1988-01-01,,"Emne_11.04.00","",[[Category:NaN_KLE_Data]]
Gruppe_11.10,11.10,"Sikring af levevilkårene [udgået]",1992-01-01,,"Emne_11.10.00","",[[Category:NaN_KLE_Data]]
Gruppe_12.00,12.00,"Kirkelige forhold i almindelighed [udgået]",1988-01-01,,"Emne_12.00.00","",[[Category:NaN_KLE_Data]]
Gruppe_12.01,12.01,"Begravelser [udgået]",1988-01-01,,"Emne_12.01.00,Emne_12.01.01,Emne_12.01.02,Emne_12.01.05","",[[Category:NaN_KLE_Data]]
Gruppe_12.02,12.02,"Kirker og kirkegårde [udgået]",1988-01-01,,"Emne_12.02.00,Emne_12.02.01,Emne_12.02.09,Emne_12.02.10,Emne_12.02.11,Emne_12.02.20","",[[Category:NaN_KLE_Data]]
Gruppe_13.00,13.00,"Forsyning",1988-01-01,2011-05-01,"Emne_13.00.00,Emne_13.00.01,Emne_13.00.02,Emne_13.00.05","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_13.01,13.01,"Elforsyning",1988-01-01,,"Emne_13.01.00,Emne_13.01.02,Emne_13.01.03,Emne_13.01.06,Emne_13.01.07,Emne_13.01.10,Emne_13.01.15,Emne_13.01.20,Emne_13.01.25","",[[Category:NaN_KLE_Data]]
Gruppe_13.02,13.02,"Vandforsyning",1988-01-01,,"Emne_13.02.00,Emne_13.02.01,Emne_13.02.02,Emne_13.02.03,Emne_13.02.04,Emne_13.02.05,Emne_13.02.06,Emne_13.02.08,Emne_13.02.10,Emne_13.02.11,Emne_13.02.15,Emne_13.02.17,Emne_13.02.19,Emne_13.02.25","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_13.03,13.03,"Varmeforsyning",1988-01-01,,"Emne_13.03.00,Emne_13.03.01,Emne_13.03.02,Emne_13.03.03,Emne_13.03.04,Emne_13.03.05,Emne_13.03.10,Emne_13.03.11,Emne_13.03.15,Emne_13.03.18,Emne_13.03.20,Emne_13.03.24,Emne_13.03.30","",[[Category:NaN_KLE_Data]]
Gruppe_13.04,13.04,"Bygasforsyning",1988-01-01,2014-05-01,"Emne_13.04.00","",[[Category:NaN_KLE_Data]]
Gruppe_13.05,13.05,"Trafikselskaber",1988-01-01,2006-12-01,"Emne_13.05.00,Emne_13.05.01,Emne_13.05.02,Emne_13.05.03,Emne_13.05.05,Emne_13.05.06,Emne_13.05.07,Emne_13.05.08,Emne_13.05.10,Emne_13.05.12,Emne_13.05.14,Emne_13.05.16,Emne_13.05.18,Emne_13.05.20,Emne_13.05.22,Emne_13.05.24,Emne_13.05.26","FolkeskolenDelplan,DagtilbudDelplan",[[Category:NaN_KLE_Data]]
Gruppe_13.06,13.06,"Jordforsyning (byggemodning)",1988-01-01,,"Emne_13.06.00,Emne_13.06.01,Emne_13.06.02,Emne_13.06.03,Emne_13.06.04,Emne_13.06.05","KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_13.07,13.07,"Udlejning af kommunens beboelseslejligheder",1988-01-01,,"Emne_13.07.00,Emne_13.07.01,Emne_13.07.02,Emne_13.07.03,Emne_13.07.05","",[[Category:NaN_KLE_Data]]
Gruppe_13.08,13.08,"Slagtehuse og eksportstalde [udgået]",1988-01-01,,"Emne_13.08.00","",[[Category:NaN_KLE_Data]]
Gruppe_13.09,13.09,"Udleje/udlån af materiel",1988-01-01,,"Emne_13.09.00,Emne_13.09.10","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,PrivatVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_13.10,13.10,"Fællesantenneanlæg/kabel-tv",1988-01-01,2005-02-01,"Emne_13.10.00,Emne_13.10.01,Emne_13.10.02,Emne_13.10.03,Emne_13.10.04,Emne_13.10.05,Emne_13.10.06,Emne_13.10.10,Emne_13.10.11,Emne_13.10.20","",[[Category:NaN_KLE_Data]]
Gruppe_13.11,13.11,"Naturgasforsyning",1988-01-01,2014-05-01,"Emne_13.11.00,Emne_13.11.01,Emne_13.11.02,Emne_13.11.03,Emne_13.11.05,Emne_13.11.10,Emne_13.11.11,Emne_13.11.15","",[[Category:NaN_KLE_Data]]
Gruppe_13.12,13.12,"Kommunikationsnet [udgået]",1988-01-01,,"Emne_13.12.00,Emne_13.12.01,Emne_13.12.03","FolkeskolenDelplan,DagtilbudDelplan",[[Category:NaN_KLE_Data]]
Gruppe_13.15,13.15,"Andre energiformer [udgået]",1988-01-01,,"Emne_13.15.00,Emne_13.15.01,Emne_13.15.02,Emne_13.15.03,Emne_13.15.04,Emne_13.15.05,Emne_13.15.06,Emne_13.15.07,Emne_13.15.08,Emne_13.15.09","",[[Category:NaN_KLE_Data]]
Gruppe_13.16,13.16,"Kommunikationsnet",2013-05-01,,"Emne_13.16.00,Emne_13.16.02,Emne_13.16.10","",[[Category:NaN_KLE_Data]]
