Titel,Retskilde[Titel],Retskilde[PellerK],Retskilde[Accessionsnr],Fritekst
"Parkeringsskivebekendtgørelsen_B20030032705","Parkeringsskivebekendtgørelsen","","B20030032705",[[Category:NaN_KLE_Data]]
"Færdselsloven_A20130138629_P92","Færdselsloven","§ 92, Stk.1","A20130138629_P92",[[Category:NaN_KLE_Data]]
"Færdselsloven_A20130138629_P92","Færdselsloven","§ 92, Stk.3","A20130138629_P92",[[Category:NaN_KLE_Data]]
"Privatvejsloven_A20100153730_P67-70","Privatvejsloven","§ 67-70","A20100153730_P67-70",[[Category:NaN_KLE_Data]]
"LBK om graveadgang og ekspropriation m.v. til telekommunikationsformål_A20030066229","LBK om graveadgang og ekspropriation m.v. til telekommunikationsformål","","A20030066229",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P73","Lov om offentlige veje m.v.","§ 73","A20140152030_P73",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P76-78","Lov om offentlige veje m.v.","§ 76-78","A20140152030_P76-78",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P77","Lov om offentlige veje m.v.","§ 77","A20140152030_P77",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P74-75","Lov om offentlige veje m.v.","§ 74-75","A20140152030_P74-75",[[Category:NaN_KLE_Data]]
"Færdselsloven_A20130138629_P92e","Færdselsloven","§ 92e","A20130138629_P92e",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030","Lov om offentlige veje m.v.","","A20140152030",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P108","Lov om offentlige veje m.v.","§ 108","A20140152030_P108",[[Category:NaN_KLE_Data]]
"BEK om vejafmærkning_B20120080205","BEK om vejafmærkning","","B20120080205",[[Category:NaN_KLE_Data]]
"Færdselsloven_A20130138629_P40","Færdselsloven","§ 40","A20130138629_P40",[[Category:NaN_KLE_Data]]
"Færdselsloven_A20130138629_P92","Færdselsloven","§ 92","A20130138629_P92",[[Category:NaN_KLE_Data]]
"Færdselsloven_A20130138629_P92a","Færdselsloven","§ 92a","A20130138629_P92a",[[Category:NaN_KLE_Data]]
"BEK om særtransport_B20140132805","BEK om særtransport","","B20140132805",[[Category:NaN_KLE_Data]]
"Færdselsloven_A20130138629_P92","Færdselsloven","§ 92, Stk.1","A20130138629_P92",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P80","Lov om offentlige veje m.v.","§ 80","A20140152030_P80",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P80","Lov om offentlige veje m.v.","§ 80","A20140152030_P80",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P80","Lov om offentlige veje m.v.","§ 80","A20140152030_P80",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P80","Lov om offentlige veje m.v.","§ 80","A20140152030_P80",[[Category:NaN_KLE_Data]]
"Færdselsloven_A20130138629_P87","Færdselsloven","§ 87, Stk.3","A20130138629_P87",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P80","Lov om offentlige veje m.v.","§ 80","A20140152030_P80",[[Category:NaN_KLE_Data]]
"BEK om anbringelse af beholdere og lignende genstande på vej_B19860087905","BEK om anbringelse af beholdere og lignende genstande på vej","","B19860087905",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P80","Lov om offentlige veje m.v.","§ 80","A20140152030_P80",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P80","Lov om offentlige veje m.v.","§ 80","A20140152030_P80",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P80","Lov om offentlige veje m.v.","§ 80","A20140152030_P80",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P80","Lov om offentlige veje m.v.","§ 80","A20140152030_P80",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P80","Lov om offentlige veje m.v.","§ 80","A20140152030_P80",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P80","Lov om offentlige veje m.v.","§ 80","A20140152030_P80",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P80","Lov om offentlige veje m.v.","§ 80","A20140152030_P80",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P80","Lov om offentlige veje m.v.","§ 80","A20140152030_P80",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P86","Lov om offentlige veje m.v.","§ 86","A20140152030_P86",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P102","Lov om offentlige veje m.v.","§ 102, Stk.3","A20140152030_P102",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P82","Lov om offentlige veje m.v.","§ 82","A20140152030_P82",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P84-85","Lov om offentlige veje m.v.","§ 84-85","A20140152030_P84-85",[[Category:NaN_KLE_Data]]
"Privatvejsloven_A20100153730_P61","Privatvejsloven","§ 61","A20100153730_P61",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P87","Lov om offentlige veje m.v.","§ 87","A20140152030_P87",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P88","Lov om offentlige veje m.v.","§ 88","A20140152030_P88",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P26-39","Lov om offentlige veje m.v.","§ 26-39","A20140152030_P26-39",[[Category:NaN_KLE_Data]]
"Persondataloven_A20000042930_P26d","Persondataloven","§ 26d","A20000042930_P26d",[[Category:NaN_KLE_Data]]
"TV-overvågningsloven_A20070119029_P3a","TV-overvågningsloven","§ 3a","A20070119029_P3a",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P99-101","Lov om offentlige veje m.v.","§ 99-101","A20140152030_P99-101",[[Category:NaN_KLE_Data]]
"CIR om lov om offentlige veje_C19850013209","CIR om lov om offentlige veje","","C19850013209",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P102","Lov om offentlige veje m.v.","§ 102","A20140152030_P102",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P94-98","Lov om offentlige veje m.v.","§ 94-98","A20140152030_P94-98",[[Category:NaN_KLE_Data]]
"CIR om lov om offentlige veje_C19850013209","CIR om lov om offentlige veje","","C19850013209",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P103","Lov om offentlige veje m.v.","§ 103","A20140152030_P103",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P112","Lov om offentlige veje m.v.","§ 112","A20140152030_P112",[[Category:NaN_KLE_Data]]
"Lov om offentlige veje m.v._A20140152030_P119-120","Lov om offentlige veje m.v.","§ 119-120","A20140152030_P119-120",[[Category:NaN_KLE_Data]]
"CIR om lov om offentlige veje_C19850013209","CIR om lov om offentlige veje","","C19850013209",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_P32-32a","Miljøbeskyttelsesloven","§ 32-32a","A20100087929_P32-32a",[[Category:NaN_KLE_Data]]
"Spildevandsbekendtgørelsen_B20070144805_Kap3-4","Spildevandsbekendtgørelsen","Kap.3-4","B20070144805_Kap3-4",[[Category:NaN_KLE_Data]]
"Betalingsloven_A20100063329_P5-7","Betalingsloven","§ 5-7","A20100063329_P5-7",[[Category:NaN_KLE_Data]]
"BEK om typegodkendelsesordning for minirenseanlæg_B20070144405","BEK om typegodkendelsesordning for minirenseanlæg","","B20070144405",[[Category:NaN_KLE_Data]]
"BEK om ændring af bekendtgørelse om spildevandstilladelser m.v. efter miljøbeskyttelseslovens kapitel 3 og 4_B20120122205","BEK om ændring af bekendtgørelse om spildevandstilladelser m.v. efter miljøbeskyttelseslovens kapitel 3 og 4","","B20120122205",[[Category:NaN_KLE_Data]]
"Spildevandsbekendtgørelsen_B20070144805_P9","Spildevandsbekendtgørelsen","§ 9","B20070144805_P9",[[Category:NaN_KLE_Data]]
"Spildevandsbekendtgørelsen_B20070144805_P37","Spildevandsbekendtgørelsen","§ 37","B20070144805_P37",[[Category:NaN_KLE_Data]]
"Spildevandsbekendtgørelsen_B20070144805_P28-31","Spildevandsbekendtgørelsen","§ 28-31","B20070144805_P28-31",[[Category:NaN_KLE_Data]]
"Affaldsforbrændingsbekendtgørelsen_B20120145105_P8","Affaldsforbrændingsbekendtgørelsen","§ 8, Stk.2","B20120145105_P8",[[Category:NaN_KLE_Data]]
"Spildevandsbekendtgørelsen_B20070144805_P8-11","Spildevandsbekendtgørelsen","§ 8-11","B20070144805_P8-11",[[Category:NaN_KLE_Data]]
"Spildevandsbekendtgørelsen_B20070144805_P24a","Spildevandsbekendtgørelsen","§ 24a","B20070144805_P24a",[[Category:NaN_KLE_Data]]
"Betalingsloven_A20100063329_P2-4a","Betalingsloven","§ 2-4a","A20100063329_P2-4a",[[Category:NaN_KLE_Data]]
"BEK om fastsættelse af den variable del af vandafledningsbidraget m.v._B20140132705","BEK om fastsættelse af den variable del af vandafledningsbidraget m.v.","","B20140132705",[[Category:NaN_KLE_Data]]
"Betalingsloven_A20130103029_P1","Betalingsloven","§ 1, Stk.3","A20130103029_P1",[[Category:NaN_KLE_Data]]
"Spildevandsbekendtgørelsen_B20070144805_P47-50","Spildevandsbekendtgørelsen","§ 47-50","B20070144805_P47-50",[[Category:NaN_KLE_Data]]
"Randzoneloven_A20140089429","Randzoneloven","","A20140089429",[[Category:NaN_KLE_Data]]
"Vandløbsloven_A20130120829_P12-15","Vandløbsloven","§ 12-15","A20130120829_P12-15",[[Category:NaN_KLE_Data]]
"BEK om regulativer for offentlige vandløb_B20070143705","BEK om regulativer for offentlige vandløb","","B20070143705",[[Category:NaN_KLE_Data]]
"Vandløbsloven_A20130120829_P8-11","Vandløbsloven","§ 8-11","A20130120829_P8-11",[[Category:NaN_KLE_Data]]
"BEK om klassifikation og registrering af vandløb_B20140123505","BEK om klassifikation og registrering af vandløb","","B20140123505",[[Category:NaN_KLE_Data]]
"Vandløbsloven_A20130120829_P3-5","Vandløbsloven","§ 3-5","A20130120829_P3-5",[[Category:NaN_KLE_Data]]
"Vandløbsloven_A20130120829_P16-17","Vandløbsloven","§ 16-17","A20130120829_P16-17",[[Category:NaN_KLE_Data]]
"Vandløbsloven_A20130120829_P21-22","Vandløbsloven","§ 21-22","A20130120829_P21-22",[[Category:NaN_KLE_Data]]
"Vandløbsloven_A20130120829_P18-20","Vandløbsloven","§ 18-20","A20130120829_P18-20",[[Category:NaN_KLE_Data]]
"Vandløbsloven_A20130120829_P23-29","Vandløbsloven","§ 23-29","A20130120829_P23-29",[[Category:NaN_KLE_Data]]
"Vandløbsloven_A20130120829_P37-37a","Vandløbsloven","§ 37-37a","A20130120829_P37-37a",[[Category:NaN_KLE_Data]]
"Vandløbsloven_A20130120829_P27-36","Vandløbsloven","§ 27-36","A20130120829_P27-36",[[Category:NaN_KLE_Data]]
"Vandløbsloven_A20130120829_P6-8","Vandløbsloven","§ 6-8","A20130120829_P6-8",[[Category:NaN_KLE_Data]]
"Vandløbsloven_A20130120829_P38-46","Vandløbsloven","§ 38-46","A20130120829_P38-46",[[Category:NaN_KLE_Data]]
"Vandløbsloven_A20130120829_P9-11","Vandløbsloven","§ 9-11","A20130120829_P9-11",[[Category:NaN_KLE_Data]]
"Vandløbsloven_A20130120829_P47-52","Vandløbsloven","§ 47-52","A20130120829_P47-52",[[Category:NaN_KLE_Data]]
"BEK om vandløbsregulering og -restaurering mv._B20070143605_Kap4-5","BEK om vandløbsregulering og -restaurering mv.","Kap.4-5","B20070143605_Kap4-5",[[Category:NaN_KLE_Data]]
"Vandløbsloven_A20130120829_P4","Vandløbsloven","§ 4","A20130120829_P4",[[Category:NaN_KLE_Data]]
"Vandløbsloven_A20130120829_P61-70","Vandløbsloven","§ 61-70","A20130120829_P61-70",[[Category:NaN_KLE_Data]]
"Vandløbsloven_A20130120829","Vandløbsloven","","A20130120829",[[Category:NaN_KLE_Data]]
"Okkerloven_A20090093429","Okkerloven","","A20090093429",[[Category:NaN_KLE_Data]]
"BEK om godkendelse til udgrøftning og dræning samt støtte til bekæmpelse af okkergener_B20060131205","BEK om godkendelse til udgrøftning og dræning 
samt støtte til bekæmpelse af okkergener","","B20060131205",[[Category:NaN_KLE_Data]]
"LBK om vurdering og styring af oversvømmelsesrisikoen fra vandløb og søer_A20130095029","LBK om vurdering og styring af oversvømmelsesrisikoen fra vandløb og søer","","A20130095029",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_Kap4","Miljøbeskyttelsesloven","Kap.4","A20100087929_Kap4",[[Category:NaN_KLE_Data]]
"Lov om en Cityring_A20070055230_P14c","Lov om en Cityring","§ 14c","A20070055230_P14c",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_P28","Miljøbeskyttelsesloven","§ 28","A20100087929_P28",[[Category:NaN_KLE_Data]]
"Spildevandsbekendtgørelsen_B20070144805_P12","Spildevandsbekendtgørelsen","§ 12","B20070144805_P12",[[Category:NaN_KLE_Data]]
"Spildevandsbekendtgørelsen_B20070144805_P24a","Spildevandsbekendtgørelsen","§ 24a","B20070144805_P24a",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_P27","Miljøbeskyttelsesloven","§ 27","A20100087929_P27",[[Category:NaN_KLE_Data]]
"Affalds- og råstofafgiftsloven_A20110031129","Affalds- og råstofafgiftsloven","","A20110031129",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_P47","Miljøbeskyttelsesloven","§ 47, Stk.2-4","A20100087929_P47",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P13-18","Affaldsbekendtgørelsen","§ 13-18","B20120130905_P13-18",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_P45","Miljøbeskyttelsesloven","§ 45, Stk.3","A20100087929_P45",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P19-23","Affaldsbekendtgørelsen","§ 19-23","B20120130905_P19-23",[[Category:NaN_KLE_Data]]
"BEK om at bringe elektrisk og elektronisk udstyr i omsætning samt håndtering af affald af elektrisk og elektronisk udstyr_B20140013005","BEK om at bringe elektrisk og elektronisk udstyr i omsætning samt håndtering af affald af elektrisk og elektronisk udstyr","","B20140013005",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_P47","Miljøbeskyttelsesloven","§ 47, Stk.1","A20100087929_P47",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P14","Affaldsbekendtgørelsen","§ 14","B20120130905_P14",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P16","Affaldsbekendtgørelsen","§ 16","B20120130905_P16",[[Category:NaN_KLE_Data]]
"BEK om Affaldsdatasystemet_B20120130605","BEK om Affaldsdatasystemet","","B20120130605",[[Category:NaN_KLE_Data]]
"BEK om overførsel af affald og overførsel af brugt elektrisk og elektronisk udstyr_B20140013205","BEK om overførsel af affald og overførsel af brugt elektrisk og elektronisk udstyr","","B20140013205",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_P48","Miljøbeskyttelsesloven","§ 48","A20100087929_P48",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P53-60","Affaldsbekendtgørelsen","§ 53-60","B20120130905_P53-60",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P15","Affaldsbekendtgørelsen","§ 15","B20120130905_P15",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_P50","Miljøbeskyttelsesloven","§ 50","A20100087929_P50",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_P50","Miljøbeskyttelsesloven","§ 50","A20100087929_P50",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905","Affaldsbekendtgørelsen","","B20120130905",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_P45","Miljøbeskyttelsesloven","§ 45, Stk.2","A20100087929_P45",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_P54-57","Miljøbeskyttelsesloven","§ 54-57","A20100087929_P54-57",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P70","Affaldsbekendtgørelsen","§ 70","B20120130905_P70",[[Category:NaN_KLE_Data]]
"BEK om asbest_B20040150205","BEK om asbest","","B20040150205",[[Category:NaN_KLE_Data]]
"Apotekerloven_A20140104029","Apotekerloven","","A20140104029",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P37","Affaldsbekendtgørelsen","§ 37","B20120130905_P37",[[Category:NaN_KLE_Data]]
"BEK om batterier og akkumulatorer og udtjente batterier og akkumulatorer_B20090118605_Kap6","BEK om batterier og akkumulatorer og udtjente batterier og akkumulatorer","Kap.6","B20090118605_Kap6",[[Category:NaN_KLE_Data]]
"BEK om opkrævning af miljøbidrag samt udbetaling af godtgørelse i forbindelse med ophugning og skrotning af biler_B20140029305","BEK om opkrævning af miljøbidrag samt udbetaling af godtgørelse i forbindelse med ophugning og skrotning af biler","","B20140029305",[[Category:NaN_KLE_Data]]
"Bilskrotbekendtgørelsen_B20120131205","Bilskrotbekendtgørelsen","","B20120131205",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P48","Affaldsbekendtgørelsen","§ 48","B20120130905_P48",[[Category:NaN_KLE_Data]]
"BEK om at bringe elektrisk og elektronisk udstyr i omsætning samt håndtering af affald af elektrisk og elektronisk udstyr_B20140013005_P1-3","BEK om at bringe elektrisk og elektronisk udstyr i omsætning samt håndtering af affald af elektrisk og elektronisk udstyr","§ 1-3","B20140013005_P1-3",[[Category:NaN_KLE_Data]]
"BEK om at bringe elektrisk og elektronisk udstyr i omsætning samt håndtering af affald af elektrisk og elektronisk udstyr_B20140013005_P6","BEK om at bringe elektrisk og elektronisk udstyr i omsætning samt håndtering af affald af elektrisk og elektronisk udstyr","§ 6","B20140013005_P6",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P4-5","Affaldsbekendtgørelsen","§ 4-5","B20120130905_P4-5",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P6-11","Affaldsbekendtgørelsen","§ 6-11","B20120130905_P6-11",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P40","Affaldsbekendtgørelsen","§ 40","B20120130905_P40",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P24","Affaldsbekendtgørelsen","§ 24, Stk.6","B20120130905_P24",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P47","Affaldsbekendtgørelsen","§ 47","B20120130905_P47",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P49","Affaldsbekendtgørelsen","§ 49, Stk.2","B20120130905_P49",[[Category:NaN_KLE_Data]]
"Biomassebekendtgørelsen_B20060163705","Biomassebekendtgørelsen","","B20060163705",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P24","Affaldsbekendtgørelsen","§ 24","B20120130905_P24",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P29","Affaldsbekendtgørelsen","§ 29, Stk.3","B20120130905_P29",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P30","Affaldsbekendtgørelsen","§ 30, Stk.3","B20120130905_P30",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P31","Affaldsbekendtgørelsen","§ 31, Stk.3","B20120130905_P31",[[Category:NaN_KLE_Data]]
"Pantbekendtgørelsen_B20140010405","Pantbekendtgørelsen","","B20140010405",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P49","Affaldsbekendtgørelsen","§ 49, Stk.2","B20120130905_P49",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P78-83","Affaldsbekendtgørelsen","§ 78-83","B20120130905_P78-83",[[Category:NaN_KLE_Data]]
"BEK om anvendelse af restprodukter og jord til bygge- og anlægsarbejder og om anvendelse af sorteret uforurenet bygge- og anlægsaffald_B20100166205_P11-13","BEK om anvendelse af restprodukter og jord til bygge- og anlægsarbejder og om anvendelse af sorteret, uforurenet bygge- og anlægsaffald","§ 11-13","B20100166205_P11-13",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P24","Affaldsbekendtgørelsen","§ 24, Stk.6","B20120130905_P24",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P39","Affaldsbekendtgørelsen","§ 39","B20120130905_P39",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P25","Affaldsbekendtgørelsen","§ 25","B20120130905_P25",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P25-34","Affaldsbekendtgørelsen","§ 25-34","B20120130905_P25-34",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P25-34","Affaldsbekendtgørelsen","§ 25-34","B20120130905_P25-34",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P29-31","Affaldsbekendtgørelsen","§ 29-31","B20120130905_P29-31",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P26","Affaldsbekendtgørelsen","§ 26","B20120130905_P26",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P28","Affaldsbekendtgørelsen","§ 28","B20120130905_P28",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P27-28","Affaldsbekendtgørelsen","§ 27-28","B20120130905_P27-28",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P33","Affaldsbekendtgørelsen","§ 33","B20120130905_P33",[[Category:NaN_KLE_Data]]
"Affaldsbekendtgørelsen_B20120130905_P34","Affaldsbekendtgørelsen","§ 34","B20120130905_P34",[[Category:NaN_KLE_Data]]
"BEK om anvendelse af restprodukter og jord til bygge- og anlægsarbejder og om anvendelse af sorteret uforurenet bygge- og anlægsaffald_B20100166205_P11-13","BEK om anvendelse af restprodukter og jord til bygge- og anlægsarbejder og om anvendelse af sorteret, uforurenet bygge- og anlægsaffald","§ 11-13","B20100166205_P11-13",[[Category:NaN_KLE_Data]]
"Slambekendtgørelsen_B20060165005_P5","Slambekendtgørelsen","§ 5","B20060165005_P5",[[Category:NaN_KLE_Data]]
"BEK om tilsyn med spildevandsslam m.m. til jordbrugsformål_B20000005605_P1","BEK om tilsyn med spildevandsslam m.m. til jordbrugsformål","§ 1","B20000005605_P1",[[Category:NaN_KLE_Data]]
"BEK om tilsyn med spildevandsslam m.m. til jordbrugsformål_B20000005605_P2-4","BEK om tilsyn med spildevandsslam m.m. til jordbrugsformål","§ 2-4","B20000005605_P2-4",[[Category:NaN_KLE_Data]]
"Slambekendtgørelsen_B20060165005_Kap3","Slambekendtgørelsen","Kap.3","B20060165005_Kap3",[[Category:NaN_KLE_Data]]
"Slambekendtgørelsen_B20060165005_Kap5","Slambekendtgørelsen","Kap.5","B20060165005_Kap5",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_P19-20","Miljøbeskyttelsesloven","§ 19-20","A20100087929_P19-20",[[Category:NaN_KLE_Data]]
"Slambekendtgørelsen_B20060165005_Kap6-7","Slambekendtgørelsen","Kap.6-7","B20060165005_Kap6-7",[[Category:NaN_KLE_Data]]
"Slambekendtgørelsen_B20060165005_Kap8","Slambekendtgørelsen","Kap.8","B20060165005_Kap8",[[Category:NaN_KLE_Data]]
"Slambekendtgørelsen_B20060165005_P19","Slambekendtgørelsen","§ 19","B20060165005_P19",[[Category:NaN_KLE_Data]]
"Slambekendtgørelsen_B20060165005_P29-30","Slambekendtgørelsen","§ 29-30","B20060165005_P29-30",[[Category:NaN_KLE_Data]]
"Bioaskebekendtgørelsen_B20080081805_P5-6","Bioaskebekendtgørelsen","§ 5-6","B20080081805_P5-6",[[Category:NaN_KLE_Data]]
"Bioaskebekendtgørelsen_B20080081805_P7-9","Bioaskebekendtgørelsen","§ 7-9","B20080081805_P7-9",[[Category:NaN_KLE_Data]]
"Miljøbeskyttelsesloven_A20100087929_P19","Miljøbeskyttelsesloven","§ 19","A20100087929_P19",[[Category:NaN_KLE_Data]]
"Bioaskebekendtgørelsen_B20080081805_P12-13","Bioaskebekendtgørelsen","§ 12-13","B20080081805_P12-13",[[Category:NaN_KLE_Data]]
"Bioaskebekendtgørelsen_B20080081805_P14-16","Bioaskebekendtgørelsen","§ 14-16","B20080081805_P14-16",[[Category:NaN_KLE_Data]]
"LBK om havne_A20120045729_P7","LBK om havne","§ 7","A20120045729_P7",[[Category:NaN_KLE_Data]]
"LBK om havne_A20120045729_P9-10","LBK om havne","§ 9-10","A20120045729_P9-10",[[Category:NaN_KLE_Data]]
"LBK om havne_A20120045729_P3","LBK om havne","§ 3","A20120045729_P3",[[Category:NaN_KLE_Data]]
"LBK om havne_A20120045729_P4","LBK om havne","§ 4","A20120045729_P4",[[Category:NaN_KLE_Data]]
"LBK om havne_A20120045729_P6a","LBK om havne","§ 6a","A20120045729_P6a",[[Category:NaN_KLE_Data]]
"LBK om havne_A20120045729_P3","LBK om havne","§ 3","A20120045729_P3",[[Category:NaN_KLE_Data]]
"LBK om havne_A20120045729_P3","LBK om havne","§ 3","A20120045729_P3",[[Category:NaN_KLE_Data]]
"LBK om havne_A20120045729_P14a","LBK om havne","§ 14a","A20120045729_P14a",[[Category:NaN_KLE_Data]]
"BEK om sikring af havnefaciliteter_B20120041405","BEK om sikring af havnefaciliteter","","B20120041405",[[Category:NaN_KLE_Data]]
"Luftfartsloven_A20130103629_P55","Luftfartsloven","§ 55","A20130103629_P55",[[Category:NaN_KLE_Data]]
"Luftfartsloven_A20130103629_P60","Luftfartsloven","§ 60","A20130103629_P60",[[Category:NaN_KLE_Data]]
"Luftfartsloven_A20130103629_P52a","Luftfartsloven","§ 52a","A20130103629_P52a",[[Category:NaN_KLE_Data]]
"Luftfartsloven_A20130103629_P146","Luftfartsloven","§ 146","A20130103629_P146",[[Category:NaN_KLE_Data]]
"Bestemmelser om betaling for benyttelse af lufthavne (lufthavnstakster) (BL 9-15 3. udgave)_B20110911005","Bestemmelser om betaling for benyttelse af lufthavne (lufthavnstakster) (BL 9-15, 3. udgave)","","B20110911005",[[Category:NaN_KLE_Data]]
"BEK om meddelelsespligt med hensyn til flyvehavarier og flyvehændelser_B19970030105","BEK om meddelelsespligt med hensyn til flyvehavarier og flyvehændelser","","B19970030105",[[Category:NaN_KLE_Data]]
"BEK om forebyggelse af forbrydelser mod luftfartens sikkerhed (security)_B20070133905","BEK om forebyggelse af forbrydelser mod luftfartens sikkerhed (security)","","B20070133905",[[Category:NaN_KLE_Data]]
"Bestemmelser om lufttrafikregler_B20140979905","Bestemmelser om lufttrafikregler","","B20140979905",[[Category:NaN_KLE_Data]]
"Bestemmelser om lufttrafikregler_B20140979905","Bestemmelser om lufttrafikregler","","B20140979905",[[Category:NaN_KLE_Data]]
