Title,Emne[Nr],Emne[Titel],Emne[Oprettet],Emne[Rettet],Emne[Bevaring],Emne[Sletning],Emne[Filtre],Emne[Retskilder],Emne[Vejledning],Free Text
Emne_03.01.00,03.01.00,"Benyttelse af boliger i almindelighed",1988-01-01,,B,P1800D,"","","",[[Category:NaN_KLE_Data]]
Emne_03.01.01,03.01.01,"Fastsættelse af leje udgået",1988-01-01,,B,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.01.02,03.01.02,"Sammenlægning af boliger",1988-01-01,,B,P1800D,"","Boligreguleringsloven_A20100096229_Kap7","",[[Category:NaN_KLE_Data]]
Emne_03.01.03,03.01.03,"Nedlæggelse af boliger",1988-01-01,,B,P1800D,"","","",[[Category:NaN_KLE_Data]]
Emne_03.01.04,03.01.04,"Ændret benyttelse af boliger",1988-01-01,,B,P1800D,"","Boligreguleringsloven_A20100096229_P50","",[[Category:NaN_KLE_Data]]
Emne_03.01.05,03.01.05,"Omlægning af boligform herunder tilbudspligt mv.",1988-01-01,,B,P1800D,"","","",[[Category:NaN_KLE_Data]]
Emne_03.01.10,03.01.10,"Anvisningsret i private udlejningsejendomme",1995-01-01,,B,P1800D,"","Anvisningsretsloven_A20090104529,Boligreguleringsloven_A20100096229_P63a","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>Her journaliseres sager om anvisning efter &#167; 63a i boligreguleringsloven.</li>
								<li>Sager vedr&#248;rende den kommunale anvisningsret efter kap. 4 i almenboligloven journaliseres under 03.10.04.</li>
								<li>Visitation til plejebolig journaliseres med 27.42.08 med facet G01.</li>
								<li>Visitation/anvisning til &#230;ldrebolig journaliseres med 27.45.04 med facet G01.</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.02.00,03.02.00,"Almene boliger nybyggeri og renovering i almindelighed",1988-01-01,,K,P1800D,"","Almenboligloven_A20130102329_P104","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet d&#230;kker bl.a. sager om:</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>&#197;rlige opg&#248;relser over antallet af ledige almene familie- og ungdomsboliger og boliger i selvejende ungdomsboliginstitutioner, som er opf&#248;rt med offentlig st&#248;tte, og som medf&#248;rer lejetab.</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.02.01,03.02.01,"Almennyttigt boligbyggeri udgået",1988-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.02.02,03.02.02,"Boligforeninger og boligselskaber udgået",1984-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.02.03,03.02.03,"Lejekontrol udgået",1984-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.02.04,03.02.04,"Andelsboliger udgået",1988-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.02.06,03.02.06,"Lette kollektive boliger udgået",1988-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.02.10,03.02.10,"Finansiering og grundkapital - almene boliger",1988-01-01,2013-05-01,K,P1800D,"","Almenboligloven_A20130102329_P115-139,BEK om støtte til almene boliger m.v._B20110122605","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>Emnet d&#230;kker sager om finansieringen af alment boligbyggeri, herunder ogs&#229; sager om ungdomsboligbidrag.</li>
								<li>Sager om kommunal garantistillelse i forbindelse med nybyggeri og renovering journaliseres ogs&#229; her.</li>
								<li>Selve det kommunale tilsyn med garantistillelsen journaliseres med emnenr. 03.11.08 og facet K08.</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.02.11,03.02.11,"Planlægning (oplysningsskema) udgået",1988-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.02.12,03.02.12,"Tilsagn om ydelsesstøtte mv. - almene boliger",1989-01-01,2013-05-01,K,P1800D,"","Almenboligloven_A20130102329_P100,Almenboligloven_A20130102329_P115,Almenboligloven_A20130102329_P140,BEK om støtte til almene boliger m.v._B20110122605_Kap7","",[[Category:NaN_KLE_Data]]
Emne_03.02.13,03.02.13,"Byggeriets påbegyndelse godkendelse af anskaffelsessum før påbegyndelse - almene boliger",1989-01-01,2013-05-01,K,P1800D,"","BEK om støtte til almene boliger m.v._B20110122605_Kap9","",[[Category:NaN_KLE_Data]]
Emne_03.02.14,03.02.14,"Byggeriets afslutning godkendelse af endelig anskaffelsessum almene boliger",1989-01-01,2007-08-01,K,P1800D,"","Boligbyggeriloven_A20110090329_P7,BEK om støtte til almene boliger m.v._B20110122605_Kap10","",[[Category:NaN_KLE_Data]]
Emne_03.02.15,03.02.15,"Opgaver efter færdiggørelsen udgået",1990-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.02.20,03.02.20,"Eftersyn almene boliger",1999-01-01,,K,P1800D,"","Almenboligloven_A20130102329_Kap11,BEK om eftersyn af byggerier og renoveringer under Byggeskadefonden_B20110074005","",[[Category:NaN_KLE_Data]]
Emne_03.03.00,03.03.00,"Private andelsboliger i almindelighed",1989-01-01,,K,P1800D,"","","",[[Category:NaN_KLE_Data]]
Emne_03.03.01,03.03.01,"Ansøgninger og tilsagn om støtte ",1989-01-01,2012-08-01,K,P1800D,"","","",[[Category:NaN_KLE_Data]]
Emne_03.03.02,03.03.02,"Byggeriets påbegyndelse private andelsboliger",1989-01-01,2013-05-01,K,P1800D,"","Almenboligloven_A20130102329_P160e,Almenboligloven_A20130102329_P160n","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>Her journaliseres sager omkring byggeriets igangs&#230;tning for private andelsboliger.</li>
								<li>Desuden journaliseres sager, hvor kommunen stiller garanti for realkreditl&#229;n til etablering og renovering af privat andelsboliger.</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.03.03,03.03.03,"Byggeriets afslutning private andelsboliger ",1989-01-01,,K,P1800D,"","","",[[Category:NaN_KLE_Data]]
Emne_03.03.05,03.03.05,"Vedtægter private andelsboliger",1999-01-01,,K,P1800D,"","","",[[Category:NaN_KLE_Data]]
Emne_03.03.10,03.03.10,"Eftersyn private andelsboliger",1999-01-01,,K,P1800D,"","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Her journaliseres bl.a. sager om 1 &#229;rs og 5 &#229;rs eftersyn af private andelsboliger.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.03.15,03.03.15,"Kommunen som andelshaver",2007-11-01,,K,P1800D,"","LBK om andelsboligforeninger og andre boligfællesskaber_A20150044729_P2","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Her journaliseres sager, hvor kommunen i henhold til andelsboliglovens &#167; 2, stk. 7 med foreningens samtykke kan indtr&#230;de som andelshaver til andele vedr&#248;rende beboelseslejligheder, hvor lejeren ikke &#248;nsker at indtr&#230;de som medlem.</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Sager omkring kommunens medlemskab af en andelsboligforening journaliseres ogs&#229; her.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.03.17,03.03.17,"Kommunens indbetaling og udbetaling af forskelsafgift",2007-11-01,2008-11-01,K,P1800D,"","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Her journaliseres bl.a. sager om ind- og udbetaling af forskelsafgift til andelsboligforeninger, svarende til forskellen mellem boligafgift og omkostningsbestemt leje.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.03.19,03.03.19,"Kommunens salg af andel",2007-11-01,,K,P1800D,"","LBK om andelsboligforeninger og andre boligfællesskaber_A20150044729_P7g","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Her journaliseres sager, hvor kommunen s&#230;lger/videres&#230;lger sin andel i en andelsboligforening jf. &#167; 7g i andelsboligloven.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.04.00,03.04.00,"I almindelighed udgået",1989-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.04.01,03.04.01,"Sanering og nedrivning af bygninger udgået",1989-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.04.02,03.04.02,"Moderniseringer og gårdanlæg udgået",1989-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.05.00,03.05.00,"Bygningsforbedring og energibesparelser med offentlig støtte i almindelighed udgået",1988-01-01,,tom,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.06.00,03.06.00,"Ejerlejligheder/boligfællesskaber i almindelighed udgået",1988-01-01,,tom,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.07.00,03.07.00,"Andre boliger for ældre og personer med handicap i almindelighed udgået",1989-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.07.01,03.07.01,"Kollegiebyggeri udgået",1989-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.07.02,03.07.02,"Lejekontrol udgået",1989-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.08.00,03.08.00,"Drift tilsyn og støtte til selvejende ungdomsboliger i almindelighed",1994-01-01,,K,P1800D,"","BEK om drift og tilsyn med ungdomsboliger der er opført med statsstøtte (lejefastsættelse regnskaber revision og tilsyn)._B19930034005_P9","",[[Category:NaN_KLE_Data]]
Emne_03.08.01,03.08.01,"Økonomi mv. - selvejende ungdomsboliger",1994-01-01,2013-05-01,K,P1800D,"","BEK om drift og tilsyn med ungdomsboliger der er opført med statsstøtte (lejefastsættelse regnskaber revision og tilsyn)._B19930034005_P10-12","",[[Category:NaN_KLE_Data]]
Emne_03.08.02,03.08.02,"Lejegodkendelse - selvejende ungdomsboliger",1994-01-01,2013-05-01,K,P1800D,"","BEK om drift og tilsyn med ungdomsboliger der er opført med statsstøtte (lejefastsættelse regnskaber revision og tilsyn)._B19930034005_P14","",[[Category:NaN_KLE_Data]]
Emne_03.08.03,03.08.03,"Godkendelse af forbedringsarbejder mv. - selvejende ungdomsboliger",1994-01-01,2013-05-01,K,P1800D,"","BEK om drift og tilsyn med ungdomsboliger der er opført med statsstøtte (lejefastsættelse regnskaber revision og tilsyn)._B19930034005_P15,BEK om drift og tilsyn med ungdomsboliger der er opført med statsstøtte (lejefastsættelse regnskaber revision og tilsyn)._B19930034005_P19","",[[Category:NaN_KLE_Data]]
Emne_03.08.04,03.08.04,"Vedligeholdelsestilstand - selvejende ungdomsboliger",1994-01-01,2013-05-01,K,P1800D,"","BEK om drift og tilsyn med ungdomsboliger der er opført med statsstøtte (lejefastsættelse regnskaber revision og tilsyn)._B19930034005_P17","",[[Category:NaN_KLE_Data]]
Emne_03.08.05,03.08.05,"Udlejningskriterier - selvejende ungdomsboliger",1994-01-01,2013-05-01,K,P1800D,"","BEK om drift og tilsyn med ungdomsboliger der er opført med statsstøtte (lejefastsættelse regnskaber revision og tilsyn)._B19930034005_P18","",[[Category:NaN_KLE_Data]]
Emne_03.08.10,03.08.10,"Byggeskader renoveringsarbejder energibesparende foranstaltninger mv. udgået",1994-01-01,2003-02-01,K,P1800D,"","BEK om drift og tilsyn med ungdomsboliger der er opført med statsstøtte (lejefastsættelse regnskaber revision og tilsyn)._B19930034005_P15","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet udg&#229;r august 2013, da emnet er d&#230;kket af 03.08.03. Kontakt KLE-redaktionen hvis dette giver problemer.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.09.00,03.09.00,"Lejeforhold mv. i private boliger i almindelighed",1999-01-01,,K,P1800D,"","","",[[Category:NaN_KLE_Data]]
Emne_03.09.01,03.09.01,"Huslejeregulering for beboelseslejligheder",1999-01-01,2005-02-01,K,P1800D,"","Boligreguleringsloven_A20100096229_P4-17","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Her placeres sager, der vedr&#248;rer huslejen&#230;vnets behandling af sager iht. kap. II Huslejeregulering for beboelseslejligheder i boligreguleringsloven.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.09.02,03.09.02,"Vedligeholdelse og opretning i private boliger",1999-01-01,2013-05-01,K,P1800D,"","Boligreguleringsloven_A20100096229_P18-22","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Her placeres sager, der vedr&#248;rer huslejen&#230;vnets behandling af sager iht. kap. III Vedligeholdelse og opretning i boligreguleringsloven.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.09.03,03.09.03,"Forbedringer i private boliger",1999-01-01,2013-05-01,K,P1800D,"","Boligreguleringsloven_A20100096229_P23-29a","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Her placeres sager, der vedr&#248;rer huslejen&#230;vnets behandling af sager iht. kap. IV Forbedringer i boligreguleringsloven.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.09.04,03.09.04,"Huslejeregulering for mindre ejendomme",1999-01-01,2005-02-01,K,P1800D,"","Boligreguleringsloven_A20100096229_P29b-29e","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Her placeres sager, der vedr&#248;rer huslejen&#230;vnets behandling af sager iht. kap. IV Huslejeregulering for mindre ejendomme i boligreguleringsloven.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.09.05,03.09.05,"Huslejeregulering for enkeltværelser",2003-02-01,2005-02-01,K,P1800D,"","Boligreguleringsloven_A20100096229_P30-34","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Her placeres sager, der vedr&#248;rer huslejen&#230;vnets behandling af sager iht. kap. V Huslejeregulering for enkeltv&#230;relser i boligreguleringsloven.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.09.06,03.09.06,"Lejens størrelse ved aftalens indgåelse",2008-05-01,,K,P1800D,"","Boligreguleringsloven_A20100096229_P5","",[[Category:NaN_KLE_Data]]
Emne_03.09.07,03.09.07,"Lejers indbringelse af omkostningsbestemt leje mv.",2008-05-01,,K,P1800D,"","Boligreguleringsloven_A20100096229_P15","",[[Category:NaN_KLE_Data]]
Emne_03.09.08,03.09.08,"Fri huslejefastsættelse",2008-05-01,,K,P1800D,"","Boligreguleringsloven_A20100096229_P15a,Lejeloven_A20100096329_P53","",[[Category:NaN_KLE_Data]]
Emne_03.09.09,03.09.09,"Fraflytning og tilbagebetaling af depositum",2008-05-01,,K,P1800D,"","Boligreguleringsloven_A20100096229_P21","",[[Category:NaN_KLE_Data]]
Emne_03.09.10,03.09.10,"Tvister mellem ejeren og lejerne samt ejeren og Grundejernes Investeringsfond",2003-02-01,2007-08-01,K,P1800D,"","Boligreguleringsloven_A20100096229_P22f","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Her placeres sager, der vedr&#248;rer huslejen&#230;vnets behandling af sager iht. kap. III A Vedligeholdelseskonto i Grundejernes Investeringsfond i boligreguleringsloven. Journalnummeret er til huslejen&#230;vnets sager om tvister mellem ejeren og lejerne samt ejeren og Grundejernes Investeringsfond, i henhold til dette kapitel.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.09.12,03.09.12,"Forhåndsgodkendelse af lejeforhøjelse",2008-05-01,2013-05-01,K,P1800D,"","Lov om ændring af lov om leje lov om midlertidig regulering af boligforholdene lov om byfornyelse og udvikling af byer og forskellige andre love_A20140043930,Boligreguleringsloven_A20100096229_P25e,Lejeloven_A20100096329_P59e-59f","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet d&#230;kker bl.a. sager om:</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>huslejen&#230;vnets forh&#229;ndsgodkendelse af lejeforh&#248;jelser, som f&#248;lge af projekterede forbedringsarbejder.</li>
								<li>st&#248;rrelsen af den leje, der lovligt vil kunne opkr&#230;ves, inden ombygning iv&#230;rks&#230;ttes</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.09.13,03.09.13,"Forbedringer i ejendomme med omkostningsbestemt leje",2008-05-01,,K,P1800D,"","Boligreguleringsloven_A20100096229_P27","",[[Category:NaN_KLE_Data]]
Emne_03.09.15,03.09.15,"Huslejenævnets oprettelse og funktion",2003-02-01,2007-08-01,K,P1800D,"","Boligreguleringsloven_A20100096229_P35-44","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">I henhold til &#167; 35 i boligreguleringsloven, skal kommuner neds&#230;tte et eller flere huslejen&#230;vn til afg&#248;relse af tvister efter denne lov og efter lejeloven. Flere kommuner kan i f&#230;llesskab etablere f&#230;lleskommunale huslejen&#230;vn. Nummeret er til sager der vedr&#248;rer oprettelsen af n&#230;vnet, dens funktion, fx om boligreguleringsloven skal g&#230;lde, og oprettelsen af f&#230;lles huslejen&#230;vn. Organiseringen af huslejen&#230;vnene journaliseres med facetten A30.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.09.18,03.09.18,"Lejeaftaler og lejekontrakters udformning",2008-05-01,,K,P1800D,"","Lejeloven_A20100096329_P5","",[[Category:NaN_KLE_Data]]
Emne_03.09.20,03.09.20,"Tvister i henhold til lejelovens § 106 udgået",2003-02-01,2005-02-01,K,,"","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">I henhold til &#167; 106 i lejeloven, tr&#230;ffer Huslejen&#230;vnene afg&#248;relse efter reglerne i den n&#230;vnte lovs kapitel VI i f&#248;lgende tvister:</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>1) Tvister om lejeregulering og om lejefasts&#230;ttelse</li>
								<li>2) Tvister om depositum og forudbetalt husleje</li>
								<li>3) Tvister om opfyldelse af udlejerens pligt til renholdelse, vedligeholdelse og fornyelse</li>
								<li>4) Tvister om opfyldelse af lejerens pligt til renholdelse, vedligeholdelse og fornyelse</li>
								<li>5) Tvister om lejeforh&#248;jelser, lejerens ret til at gennemf&#248;re forbedringsarbejder m.v.</li>
								<li>6) Tvister om lejeaftaler</li>
								<li>7) Tvister om lejerens betaling for varme og lign.</li>
								<li>8) Tvister om lejerens ret til at installere hj&#230;lpemidler.</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.09.22,03.09.22,"Lejers råderet",2008-05-01,,K,P1800D,"","Lejeloven_A20100096329_P29,Lejeloven_A20100096329_P62a","",[[Category:NaN_KLE_Data]]
Emne_03.09.24,03.09.24,"Varme- og vandregnskaber lejeforhold mv. i private boliger",2008-05-01,,K,P1800D,"","Lejeloven_A20100096329_P40,Lejeloven_A20100096329_P46l","",[[Category:NaN_KLE_Data]]
Emne_03.09.26,03.09.26,"Lejerens betaling til fællesantenne m.v. lejeforhold mv. i private boliger",2008-05-01,,K,P1800D,"","Lejeloven_A20100096329_P46e","",[[Category:NaN_KLE_Data]]
Emne_03.09.28,03.09.28,"Skatter og afgifter lejeforhold mv. i private boliger",2008-05-01,,K,P1800D,"","Lejeloven_A20100096329_P50-52","",[[Category:NaN_KLE_Data]]
Emne_03.09.30,03.09.30,"Forbedringer småhuse lejeforhold mv. i private boliger",2008-05-01,,K,P1800D,"","Lejeloven_A20100096329_P58-59","",[[Category:NaN_KLE_Data]]
Emne_03.09.32,03.09.32,"Lejeforhøjelse ved påbudt gårdsanering",2008-05-01,,K,P1800D,"","Lejeloven_A20100096329_P60","",[[Category:NaN_KLE_Data]]
Emne_03.09.34,03.09.34,"Godtgørelse ved overgang til kollektivt varmeforsyningsanlæg lejeforhold mv.",2008-05-01,,K,P1800D,"","Lejeloven_A20100096329_P61","",[[Category:NaN_KLE_Data]]
Emne_03.09.36,03.09.36,"Aftaler om forbedringer lejeforhold mv. i private boliger",2008-05-01,,K,P1800D,"","Lejeloven_A20100096329_P62b,Lejeloven_A20100096329_P66a","",[[Category:NaN_KLE_Data]]
Emne_03.09.38,03.09.38,"Husorden lejeforhold mv. i private boliger",2008-05-01,,K,P1800D,"","Lejeloven_A20100096329_P79a","",[[Category:NaN_KLE_Data]]
Emne_03.09.40,03.09.40,"Frakendelse af retten til at administrere udlejningsejendomme",2008-05-01,,K,P1800D,"","Lejeloven_A20100096329_P113a","",[[Category:NaN_KLE_Data]]
Emne_03.09.42,03.09.42,"Lejeforhøjelser i 80/20-ejendomme lejeforhold mv. i private boliger",2008-05-01,,K,P1800D,"","Lejeloven_A20100096329","",[[Category:NaN_KLE_Data]]
Emne_03.09.44,03.09.44,"Vedligeholdelsesmangler og lejens størrelse",2013-05-01,,K,P1800D,"","Lejeloven_A20100096329_P106a","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""> I henhold til &#167; 106 a i lejeloven kan kommunalbestyrelsen indbringe en sag om vedligeholdelsesmangler og huslejens st&#248;rrelse for huslejen&#230;vnet p&#229; vegne af en lejer.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.10.00,03.10.00,"Drift af og tilsyn med almene boliger (ikke-økonomisk) i almindelighed",1996-01-01,2010-02-01,B,P1800D,"","BEK om bygningsdrift_B20110077005","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet er bl.a. til sager, hvor kommunalbestyrelsen som tilsynsmyndighed p&#229;ser, at bygningsejeren overholder reglerne i bekendtg&#248;relse om bygningsdrift.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.10.01,03.10.01,"Godkendelse vedtægter og opløsning",1996-01-01,,B,P1800D,"","Almenboligloven_A20130102329_P12,Ældreboligloven_A20100066629_P11a,BEK om drift af almene boliger m.v._B20130154005","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet er bl.a. til sager om:</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>godkendelse af vedt&#230;gter for almene boligorganisationer</li>
								<li>kommunalbestyrelsens godkendelse af oprettelse af nye boligorganisationer og selvejende institutioner, der agter at etablere almene &#230;ldreboliger efter &#167; 1 i bek. om drift af almene boliger m.v.</li>
								<li>sammenl&#230;gning af flere &#230;ldreboligorganisationer efter &#167; 11a i &#230;ldreboligloven</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.10.02,03.10.02,"Erhvervelse afhændelse forandringer og nedlæggelse af ejendomme",1996-01-01,,B,P1800D,"","Almenboligloven_A20130102329_P26-29","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet er til sager, hvor kommunalbestyrelsen for en almen boligorganisations ejendomme godkender erhvervelse, forandring, pantebrevsudstedelse og afh&#230;ndelse.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.10.04,03.10.04,"Anvisningsret/rådighed over almene boliger",1996-01-01,2004-02-01,B,P1800D,"","Almenboligloven_A20130102329_P63,Almenboligloven_A20130102329_P51-59,Ældreboligloven_A20100066629_P17,BEK om udlejning af almene boliger m.v._B20090130305,BEK om ændring af bekendtgørelse om udlejning af almene boliger m.v._B20130166405","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet d&#230;kker bl.a. sager om:</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>Den kommunale anvisningsret efter kap. 4 i almenboligloven.</li>
								<li>Kriterier for udlejning.</li>
								<li>Aftaler mellem den almene boligorganisation og kommunen om at stille ledige almene familieboliger til r&#229;dighed med henblik p&#229; udlejning som udslusningsboliger efter almenboliglovens &#167; 63.</li>
								<li>Aftaler med boligorganisationer, der har til form&#229;l at modvirke ghettoisering.</li>
								<li>Anvisningsret over &#230;ldreboliger efter &#167; 17 i &#230;ldreboligloven.</li>
							</ul>
						</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>Konkrete sager om visitation til plejebolig journaliseres under 27.42.08 med facet G01.</li>
								<li>Visitation/anvisning til &#230;ldrebolig journaliseres med 27.45.04 med facet G01.</li>
								<li>Sager om leje af almene boliger efter LBK om leje af almene boliger, se gruppe 03.12.</li>
								<li>Sager om anvisning efter &#167; 63 a i boligreguleringsloven, se emne 03.01.10.</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.10.06,03.10.06,"Garantier driftsstøtte lån udgået",1996-01-01,,B,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.10.08,03.10.08,"Sammenlægninger af almene boliger udgået",1999-01-01,,B,,"","","",[[Category:NaN_KLE_Data]]
Emne_03.10.10,03.10.10,"Dækning af flytteudgifter ",2006-02-01,,B,P1800D,"","Almenboligloven_A20130102329_P63c","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Nummeret er bl.a. til sager efter almenboliglovens 63 c, hvor kommunalbestyrelsen kan tilbyde at yde tilskud til hel eller delvis d&#230;kning af flytteudgifter til lejere, som fraflytter en almen boligafdeling.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.10.11,03.10.11,"Omdannelse til almene boligorganisationer eller selvejende almene ungdomsboliginstitutioner mv.",2012-11-01,,B,P1800D,"","Almenboligloven_A20130102329_P2,BEK om omdannelse af selvejende institutioner til almene boligorganisationer m.v._B20120091205 ,BEK om støtte m.v. til startboliger for unge_B20120091105","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>Emnet d&#230;kker sager om omdannelse af selvejende institutioner til almene boligorganisationer eller til selvejende almene ungdomsboliginstitutioner.</li>
								<li>Konkret godkendelse tilf&#248;jes facet P19.</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.10.12,03.10.12,"Ommærkning af almene boliger",2007-11-01,,B,P1800D,"","Almenboligloven_A20130102329_P3-5","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet d&#230;kker sager om omm&#230;rkning af almene boliger, fx omm&#230;rkning af almene ungdomsboliger og almene &#230;ldreboliger til almene &#230;ldreboligf&#230;llesskaber.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.10.14,03.10.14,"Sideaktiviteter i almene boligorganisationer m.v.",2007-11-01,,B,P1800D,"","BEK om sideaktiviteter i almene boligorganisationer m.v._B20150045105","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Her journaliseres sager om boligorganisationernes sideaktiviteter, fx udlejning af en afdelings ejendom med kommunalbestyrelsens godkendelse til andet end beboelse, s&#229;fremt der er et boligsocialt behov herfor.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_03.10.16,03.10.16,"Støtte til startboliger for unge",2012-11-01,,B,P1800D,"","Almenboligloven_A20130102329_P149a,BEK om støtte m.v. til startboliger for unge_B20120091105","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>Emnet d&#230;kker sager om kommunens godkendelse af startboligprojekt.</li>
								<li>Startboliger er en s&#230;rlig boligsocial indsats over for personer i alderen 18 til og med 24 &#229;r, der har behov for bost&#248;tte.</li>
								<li>Konkret godkendelse tilf&#248;jes facet P19.</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
